ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_EditedObjects8_Count,Children_RelateObjects9_Count,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_EditedObjects8,Parent_IdentifyPrimaryObjects7,Division_Angle
7,3,693.1908458858043,-,-,-,-,-,253.46094938809566,133.20581324494103,-,-,-,-,-,-,52.88656795431184,-,-,-,-,-,13.89,-0.874142141223897,-,-,-,-,253.46094938809566,133.20581324494103,3,3,-,3.13906391125817
7,4,1217.9306954641268,-,-,-,-,-,170.61007918464668,82.8084631437422,-,-,-,-,-,-,90.66481486419826,-,-,-,-,-,13.89,-0.9751208852131228,-,-,-,-,170.61007918464668,82.8084631437422,4,4,-,3.134098474139862
7,5,689.92681854565,-,-,-,-,-,140.82011966883556,148.30835610493637,-,-,-,-,-,-,52.65157678511426,-,-,-,-,-,13.89,-0.9125407998926827,-,-,-,-,140.82011966883556,148.30835610493637,5,5,-,3.131966895453457
7,6,778.2337439473017,-,-,-,-,-,228.27295314180557,210.27190559688887,-,-,-,-,-,-,59.00916680683144,-,-,-,-,-,13.89,1.5276021987938848,-,-,-,-,228.27295314180557,210.27190559688887,6,6,-,3.1324565920548393
7,7,825.9778254481689,-,-,-,-,-,231.19201920778897,93.0428260021752,-,-,-,-,-,-,62.44646569098315,-,-,-,-,-,13.89,-1.0677459556631612,-,-,-,-,231.19201920778897,93.0428260021752,7,7,-,3.134055056957299
7,8,1431.4568635757178,-,-,-,-,-,291.11539242996827,162.1349005227317,-,-,-,-,-,-,106.03746915588948,-,-,-,-,-,13.89,-1.21991329629051,-,-,-,-,291.11539242996827,162.1349005227317,8,8,-,3.1333219190499024
7,9,759.3345591675501,-,-,-,-,-,177.05968823853533,204.14083337281025,-,-,-,-,-,-,57.64853435328561,-,-,-,-,-,13.89,-0.8710976845614447,-,-,-,-,177.05968823853533,204.14083337281025,9,9,-,3.1382337450916458
7,10,876.5196787116073,-,-,-,-,-,267.4348304554047,151.31773258601382,-,-,-,-,-,-,66.08518802816373,-,-,-,-,-,13.89,-0.9063320962292785,-,-,-,-,267.4348304554047,151.31773258601382,10,10,-,3.133656882185201
7,11,1501.9092929594897,-,-,-,-,-,243.6788213358425,242.0865875526128,-,-,-,-,-,-,111.10963829798968,-,-,-,-,-,13.89,-1.5432694716695963,-,-,-,-,243.6788213358425,242.0865875526128,11,11,-,3.136565249162296
7,12,1387.180497686756,-,-,-,-,-,161.80471812028892,184.39139230362147,-,-,-,-,-,-,102.84982582335084,-,-,-,-,-,13.89,-0.8110622769317294,-,-,-,-,161.80471812028892,184.39139230362147,12,12,-,3.1393391816395546
